"Tender Number";"Status";"Estimated Value";"Title";"Department";"Location";"Category";"Description";"Published Date"
"PWD/2023-24/RD/WORK_INDENT7356";"UNDER_EVALUATION";"100000";"Detailed Estimate for Providing & Fixing Kilometer Stone,Hectometer Stone,Sign Boards and Painting work of Culverts and Headswalls in State Highways of Pandavapura Taluk in Pandavapura Taluk, Mandya District.";"Public Works Department";"PWD Division Office Mandya";"WORKS";"Detailed Estimate for Providing & Fixing Kilometer Stone,Hectometer Stone,Sign Boards and Painting work of Culverts and Headswalls in State Highways of Pandavapura Taluk in Pandavapura Taluk, Mandya District.";"2024-11-01 21:53:23"
"PWD/2023-24/RD/WORK_INDENT7248";"UNDER_EVALUATION";"300000";"Detailed Estimate for Annual Maintenance to Mandya - Hadagali Road (SH-47) From Ch.22.95 Km to 30.00 Km in Pandavapura Taluk, Mandya District.";"Public Works Department";"PWD Division Office Mandya";"WORKS";"Detailed Estimate for Annual Maintenance to Mandya - Hadagali Road (SH-47) From Ch.22.90 Km to 30.00 Km in Pandavapura Taluk, Mandya District.";"2024-11-01 21:52:54"
"DMA/2023-24/EL/WORK_INDENT11400";"UNDER_EVALUATION";"1999630";"installation of UG cable control wire and electric poles to install 90 watt LED fittings on the divider poles in the middle of the road From Ayyappaswamy temple to Hassan Circle At Arsikere CMC Limits.";"Directorate of Municipal Administration";"DMA City Municipal Council Arasikere";"WORKS";"installation of UG cable control wire and electric poles to install 90 watt LED fittings on the divider poles in the middle of the road From Ayyappaswamy temple to Hassan Circle At Arsikere CMC Limits.";"2024-11-01 21:41:22"
"PWD/2023-24/RD/WORK_INDENT7429";"EVALUATION_COMPLETED";"416722";"REPAIRS TO NON FEASIBLE ROAD FOR POTHOLE FILLING BY SCARIFYING OF HULLEPURA KADABURU ROAD FROM CH 9.5 TO 12.50KM IN GUNDLUPET TALUK.";"Public Works Department";"PWD Division Office Chamarajanagara";"WORKS";"REPAIRS TO NON FEASIBLE ROAD FOR POTHOLE FILLING BY SCARIFYING OF HULLEPURA KADABURU ROAD FROM CH 9.5 TO 12.50KM IN GUNDLUPET TALUK.";"2024-11-01 21:40:58"
"DMA/2023-24/OW/WORK_INDENT11399";"UNDER_EVALUATION";"1122377";"Construction of shed inside Khadar Chauli Dargah in front of Girls High School 2)Construction and work of shed inside Chaman Chauli Dargah next to SBI Bazar branch At Arsikere CMC Limits.";"Directorate of Municipal Administration";"DMA City Municipal Council Arasikere";"WORKS";"Construction of shed inside Khadar Chauli Dargah in front of Girls High School 2)Construction and work of shed inside Chaman Chauli Dargah next to SBI Bazar branch At Arsikere CMC Limits.";"2024-11-01 21:40:28"
"PWD/2023-24/RD/WORK_INDENT7430";"UNDER_EVALUATION";"421701";"REPAIRS TO NON FEASIBLE ROAD FOR POTHOLE FILLING BY SCARIFYING OF BEGURU-KOWLANDE ROAD FROM CH 0.0 TO 6.90KM IN GUNDLUPET TALUK.";"Public Works Department";"PWD Division Office Chamarajanagara";"WORKS";"REPAIRS TO NON FEASIBLE ROAD FOR POTHOLE FILLING BY SCARIFYING OF BEGURU-KOWLANDE ROAD FROM CH 0.0 TO 6.90KM IN GUNDLUPET TALUK.";"2024-11-01 21:40:21"
"DMA/2023-24/OW/WORK_INDENT11397";"UNDER_EVALUATION";"1350996";"Construction of CC Deck Slab In B.H Road Near KSRTC Bus Stand At Arsikere CMC Limits";"Directorate of Municipal Administration";"DMA City Municipal Council Arasikere";"WORKS";"Construction of CC Deck Slab In B.H Road Near KSRTC Bus Stand At Arsikere CMC Limits";"2024-11-01 21:39:51"
"DMA/2023-24/RD/WORK_INDENT11386";"UNDER_EVALUATION";"1745490";"Construction of Asphalt Road Word number 03 and 16 At Arsikere CMC Limits.";"Directorate of Municipal Administration";"DMA City Municipal Council Arasikere";"WORKS";"Construction of Asphalt Road Word number 03 and 16 At Arsikere CMC Limits.";"2024-11-01 21:38:51"
"DMA/2023-24/OW/WORK_INDENT11381";"UNDER_EVALUATION";"1338455";"Gym and building construction work in Karimamma temple premises At Arsikere CMC Limits";"Directorate of Municipal Administration";"DMA City Municipal Council Arasikere";"WORKS";"Gym and building construction work in Karimamma temple premises At Arsikere CMC Limits";"2024-11-01 21:37:41"
"DMA/2023-24/EL/WORK_INDENT11373";"UNDER_EVALUATION";"4899342";"Supplying and Fixing Of LED Fittings And UG Cable at B.H Road Divider Poles At Arsikere CMC Limits. (SC Reserved)";"Directorate of Municipal Administration";"DMA City Municipal Council Arasikere";"WORKS";"Supplying and Fixing Of LED Fittings And UG Cable at B.H Road Divider Poles At Arsikere CMC Limits.(S.C Reserved)";"2024-11-01 21:36:19"
"DMA/2023-24/OW/WORK_INDENT11370";"UNDER_EVALUATION";"1884091";"Providing and Laying Of Interlock At Word Number 13,26, and Infront of Market building At Santhe maidana Arsikere CMC Limits";"Directorate of Municipal Administration";"DMA City Municipal Council Arasikere";"WORKS";"Providing and Laying Of Interlock At Word Number 13,26, and Infront of Market building At Santhe maidana Arsikere CMC Limits";"2024-11-01 21:35:30"
"DMA/2023-24/OW/WORK_INDENT11368";"UNDER_EVALUATION";"433735";"Construction Of Foundation and Tress Work Near Bestarahatti Malligamma temple at Word Number 24 Arsikere CMC Limits";"Directorate of Municipal Administration";"DMA City Municipal Council Arasikere";"WORKS";"Construction Of Foundation and Tress Work Near Bestarahatti Malligamma temple at Word Number 24 Arsikere CMC Limits";"2024-11-01 21:34:54"
"DMA/2023-24/RD/WORK_INDENT11367";"NO_BIDS_RECIEVED";"2664775";"Construction of Asphalt Road At Word number 14,15,20,30,31 and Re-Asphalt At Ward number 14 At Arsikere CMC Limits";"Directorate of Municipal Administration";"DMA City Municipal Council Arasikere";"WORKS";"Construction of Asphalt Road At Word number 14,15,20,30,31 and Re-Asphalt At Ward number 14 At Arsikere CMC Limits";"2024-11-01 21:34:09"
"DMA/2023-24/OW/WORK_INDENT11366";"UNDER_EVALUATION";"4071625";"Costruction Of CC Drain and Deck Slab At Ward Number 4,6,11,12,23,27,29,17 and 21 At Arsikere CMC Limits (SC RESERVED)";"Directorate of Municipal Administration";"DMA City Municipal Council Arasikere";"WORKS";"Costruction Of CC Drain and Deck Slab At Ward Number 4,6,11,12,23,27,29,17 and 21 At Arsikere CMC Limits (SC RESERVED)";"2024-11-01 21:33:13"
"DMA/2023-24/RD/WORK_INDENT11362";"UNDER_EVALUATION";"3037391";"Costruction Of CC Road At Ward Number 02,03,05,07,08,10 and ward number 17 at Arsikere CMC limits (S.C Reserved)";"Directorate of Municipal Administration";"DMA City Municipal Council Arasikere";"WORKS";"Costruction Of CC Road At Ward Number 02,03,05,07,08,10 and ward number 17 at Arsikere CMC limits(S.C Reserved)";"2024-11-01 21:32:18"
"DMA/2023-24/OW/WORK_INDENT11984";"RETENDERED";"3595326";"Installation of surround wall and grill and rain water harvesting system works for windrow platform 01 and 02 at Arsikere municipal solid waste treatment plant.";"Directorate of Municipal Administration";"DMA City Municipal Council Arasikere";"WORKS";"Installation of surround wall and grill and rain water harvesting system works for windrow platform 1 and 2 at Arsikere municipal solid waste treatment plant.";"2024-11-01 21:30:58"
"PWD/2023-24/RD/WORK_INDENT7424";"UNDER_EVALUATION";"421059";"MAINTENANACE OF NH212 TO VEERANAPURA, BANNITHALAPURA VIA RAMANATHAPUTA TERAKANAMBI SH ROAD FROM CH 0.00 TO 11.30KM IN GUNDLUPET TALUK.";"Public Works Department";"PWD Division Office Chamarajanagara";"WORKS";"MAINTENANACE OF NH212 TO VEERANAPURA, BANNITHALAPURA VIA RAMANATHAPUTA TERAKANAMBI SH ROAD FROM CH 0.00 TO 11.30KM IN GUNDLUPET TALUK.";"2024-11-01 21:21:40"
"PWD/2023-24/RD/WORK_INDENT6995";"UNDER_EVALUATION";"494326";"MAINTENANACE OF NH766 TO HIREKATI, DODDAHUNDI, RANGUPURA, CENNAVADEYANAPURA VIA HONAKANAPURA ROAD IN GUNDLUPET TALUK.";"Public Works Department";"PWD Division Office Chamarajanagara";"WORKS";"MAINTENANACE OF NH766 TO HIREKATI, DODDAHUNDI, RANGUPURA, CENNAVADEYANAPURA VIA HONAKANAPURA ROAD IN GUNDLUPET TALUK.";"2024-11-01 21:15:53"
"RDPR/2023-24/BD/WORK_INDENT3249";"UNDER_EVALUATION";"200000";"Providing of 02 Rooms Flooring Tiles at Administrator Rooms in DHO Office kolar taluk";"Rural Development and Panchayat Raj Department";"RDPR Division Office Kolar";"WORKS";"Providing of 02 Rooms Flooring Tiles at Administrator Rooms in DHO Office kolar taluk";"2024-11-01 21:06:38"
"RDPR/2023-24/BD/WORK_INDENT3324";"RETENDERED";"1719334";"Providing Development works Under Pradhana Mantri Adi Adarsha Grama Yojane in Lingadahalli Village of Sandur Taluk Ballari Dist (Reserved for SC)";"Rural Development and Panchayat Raj Department";"RDPR Division Office Ballari";"WORKS";"Providing Development works Under Pradhana Mantri Adi
Adarsha Grama Yojane in Lingadahalli Village of Sandur Taluk Ballari Dist (Reserved for SC)";"2024-11-01 21:05:48"
"RDPR/2023-24/BD/WORK_INDENT3320";"EVALUATION_COMPLETED";"1719725";"Providing Development works Under Pradhana Mantri Adi Adarsha Grama Yojane in Malapura Village of Sandur Taluk Ballari Dist (Reserved for ST)";"Rural Development and Panchayat Raj Department";"RDPR Division Office Ballari";"WORKS";"Providing Development works Under Pradhana Mantri Adi Adarsha Grama Yojane in Malapura Village of Sandur Taluk Ballari Dist (Reserved for ST)";"2024-11-01 21:04:55"
"RDPR/2023-24/BD/WORK_INDENT3009/CALL-2";"EVALUATION_COMPLETED";"699999";"Upgrading the Office of Assistant Director Social Welfare Department in Sandur Town of Ballari Dist";"Rural Development and Panchayat Raj Department";"RDPR Division Office Ballari";"WORKS";"Upgrading the Office of Assistant Director Social Welfare Department in Sandur Town of Ballari Dist";"2024-11-01 21:04:07"
"RDPR/2023-24/BD/WORK_INDENT3231";"RETENDERED";"1719044";"Providing Development Works Under Pradhana Manti Adi Adarsha Grama Yojane in Hire Hadalagi Village of Ballari Taluk and Dist";"Rural Development and Panchayat Raj Department";"RDPR Division Office Ballari";"WORKS";"Providing Development Works Under Pradhana Manti Adi Adarsha Grama Yojane in Hire Hadalagi Village of Ballari Taluk and Dist";"2024-11-01 21:03:28"
"RDPR/2023-24/BD/WORK_INDENT3232";"RETENDERED";"1718506";"Providing Development Works Under Pradanamantri Adi Adarsh Gram Yojana in Yaraguddi village of Ballari Taluk and Dist";"Rural Development and Panchayat Raj Department";"RDPR Division Office Ballari";"WORKS";"Providing Development Works Under Pradanamantri Adi Adarsh Gram Yojana in Yaraguddi village of Ballari Taluk and Dist";"2024-11-01 21:02:49"
"RDPR/2023-24/BD/WORK_INDENT3306";"EVALUATION_COMPLETED";"1718089";"Providing Development works Under Pradhana Mantri Adi Adarsha Grama Yojane in M Lakhalahalli Village of Sandur Taluk Ballari Dist";"Rural Development and Panchayat Raj Department";"RDPR Division Office Ballari";"WORKS";"Providing Development works Under Pradhana Mantri Adi Adarsha Grama Yojane in M Lakhalahalli Village of Sandur Taluk Ballari Dist";"2024-11-01 21:01:56"
"RDPR/2023-24/BD/WORK_INDENT3300";"EVALUATION_COMPLETED";"1712531";"Providing Development Works Under Pradhana Mantri Adi Adarsha Grama Yojane in Ankamahal Village of Sandur Taluk Ballar Dist";"Rural Development and Panchayat Raj Department";"RDPR Division Office Ballari";"WORKS";"Providing Development Works Under Pradhana Mantri Adi Adarsha Grama Yojane in Ankamahal Village of Sandur Taluk Ballar Dist";"2024-11-01 21:00:49"
"RDPR/2023-24/BD/WORK_INDENT3389";"RETENDERED";"1710990";"Construction of Two Classrooms to Govt Higher Primary School in Mitesuguru Village of Siruguppa Taluk of Ballari Dist Under Pradanamantri Adi Adarsh Gram Yojana";"Rural Development and Panchayat Raj Department";"RDPR Division Office Ballari";"WORKS";"Construction of Two Classrooms to Govt Higher Primary School in Mitesuguru Village of Siruguppa Taluk of Ballari Dist Under Pradanamantri Adi Adarsh Gram Yojana";"2024-11-01 20:59:59"
"RDPR/2023-24/BD/WORK_INDENT3312";"UNDER_EVALUATION";"1719393";"Providing Development Works under Pradhana Mantri Adi Adarsha Grama Yojane in Vittalapura village of Sandur Taluk Ballari Dist";"Rural Development and Panchayat Raj Department";"RDPR Division Office Ballari";"WORKS";"Providing Development Works under Pradhana Mantri Adi Adarsha 
Grama Yojane in Vittalapura village of Sandur Taluk Ballari Dist";"2024-11-01 20:58:54"
"RDPR/2023-24/BD/WORK_INDENT3449";"EVALUATION_COMPLETED";"568942";"Construction of Additional Room Building to PHC at Karuru Village in Siruguppa Taluk (Remaining Balance Work) Under KKRDB";"Rural Development and Panchayat Raj Department";"RDPR Division Office Ballari";"WORKS";"Construction of Additional Room Building to PHC at Karuru Village in Siruguppa Taluk (Remaining Balance Work) Under KKRDB";"2024-11-01 20:57:42"
"RDPR/2023-24/BD/WORK_INDENT3418";"RETENDERED";"507270";"Construction of Library Building in GOVT First Grade College at Kurugodu town of Ballari Dist (Remaining Balance Works)";"Rural Development and Panchayat Raj Department";"RDPR Division Office Ballari";"WORKS";"Construction of Library Building in GOVT First Grade College at Kurugodu town of Ballari Dist (Remaining Balance Works)";"2024-11-01 20:56:44"
"RDPR/2023-24/BD/WORK_INDENT2101/CALL-3";"EVALUATION_COMPLETED";"1680427";"Construction Of Library Building At Konchigeri Village In Siruguppa Taluk";"Rural Development and Panchayat Raj Department";"RDPR Division Office Ballari";"WORKS";"Construction Of Library Building At Konchigeri Village In Siruguppa Taluk";"2024-11-01 20:55:40"
"PWD/2023-24/RD/WORK_INDENT7422";"UNDER_EVALUATION";"421420";"MAINTENANACE OF CHIRAKANAHALLI TO KURUBARAHUNDI, VADDAGERE, KARAKALAMADHAHALLI VIA K.K.HUNDI ROAD IN GUNDLUPET TALUK.";"Public Works Department";"PWD Division Office Chamarajanagara";"WORKS";"MAINTENANACE OF CHIRAKANAHALLI TO KURUBARAHUNDI, VADDAGERE, KARAKALAMADHAHALLI VIA K.K.HUNDI ROAD IN GUNDLUPET TALUK.";"2024-11-01 20:50:28"
"PWD/2023-24/RD/WORK_INDENT7420";"EVALUATION_COMPLETED";"419326";"MAINTENANACE OF BEGURU (NH766) TO KALANAHUNDI, KOTEKERE, BHOGAIAHNAHUNDI, BETTADAMADAHALLI VIA NH766 ROAD IN GUNDLUPET TALUK.";"Public Works Department";"PWD Division Office Chamarajanagara";"WORKS";"MAINTENANACE OF BEGURU (NH766) TO KALANAHUNDI, KOTEKERE, BHOGAIAHNAHUNDI, BETTADAMADAHALLI VIA NH766 ROAD IN GUNDLUPET TALUK.";"2024-11-01 20:43:18"
"DMA/2023-24/OW/WORK_INDENT12255";"UNDER_EVALUATION";"1096083";"Construction of CC Drain from Naviluru Nagendras house to BSNL Mahadevas house at Giridarshini Layout in Rammanahalli TP Limit (Reserved for ST Contractors)";"Directorate of Municipal Administration";"DMA Town Panchayat Rammanahalli";"WORKS";"Construction of CC Drain from Naviluru Nagendras house to BSNL Mahadevas house at Giridarshini Layout in Rammanahalli TP Limit (Reserved for ST Contractors)";"2024-11-01 20:41:33"
"DMA/2023-24/OW/WORK_INDENT12278";"UNDER_EVALUATION";"1487624";"Construction of Vishwakarma community hall at Hanchya Village in Rammanahalli TP limit (Reserved for SC contractors)";"Directorate of Municipal Administration";"DMA Town Panchayat Rammanahalli";"WORKS";"Construction of Vishwakarma community hall at Hanchya Village in Rammanahalli TP limit (Reserved for SC contractors)";"2024-11-01 20:39:18"
"DMA/2023-24/OW/WORK_INDENT12280";"UNDER_EVALUATION";"1368903";"Development of Road work from Giridarshini Layout Navilooru Nagendra house to BSNL Mahadeva house at Rammanahalli TP Limit (Reserved for SC Contractors)";"Directorate of Municipal Administration";"DMA Town Panchayat Rammanahalli";"WORKS";"Development of Road work from Giridarshini Layout Navilooru Nagendra house to BSNL Mahadeva house at Rammanahalli TP Limit (Reserved for SC Contractors)";"2024-11-01 20:37:20"
"DMA/2023-24/IND1157";"UNDER_EVALUATION";"4849800";"Suction cum jetting machine 6000 Ltrs Capacity -3000 Ltrs sludge water and 3000 Ltrs fresh water to Rammannahalli Town panchayath, Mysuru district";"Directorate of Municipal Administration";"DMA Town Panchayat Rammanahalli";"GOODS";"Suction cum jetting machine 6000 Ltrs Capacity -3000 Ltrs sludge water and 3000 Ltrs fresh water to Rammannahalli Town panchayath, Mysuru district";"2024-11-01 20:34:52"
"RD/2023-24/IND0055";"AWARDED";"1635";"SUPPLY, INSTALLATION & COMMISSIONING OF HOSPITAL EQUIPMENTS TO 10 PRIMARY HEALTH CENTRE AT DAVANAGERE AND CHANNAGIRI TALUK";"Revenue Department";"RD Deputy Commissioner Office Davanagere";"GOODS";"SUPPLY, INSTALLATION & COMMISSIONING OF HOSPITAL EQUIPMENTS TO 10 PRIMARY HEALTH CENTRE AT DAVANAGERE AND CHANNAGIRI TALUK";"2024-11-01 20:27:25"
"PWD/2023-24/RD/WORK_INDENT7419";"UNDER_EVALUATION";"418422";"MAINTENANACE HANGALA SHIVAPURA ROAD FROM CH. 0.00 TO 5.07 KM IN GUNDLUPET TALUK.";"Public Works Department";"PWD Division Office Chamarajanagara";"WORKS";"MAINTENANACE HANGALA SHIVAPURA ROAD FROM CH. 0.00 TO 5.07 KM IN GUNDLUPET TALUK.";"2024-11-01 20:26:22"
"PWD/2023-24/RD/WORK_INDENT7423";"EVALUATION_COMPLETED";"419536";"MAINTENANACE OF HUNASINAPURA TO KABBAHALLI VIA SHEEGEVADI ROAD IN GUNDLUPET TALUK.";"Public Works Department";"PWD Division Office Chamarajanagara";"WORKS";"MAINTENANACE OF HUNASINAPURA TO KABBAHALLI VIA SHEEGEVADI ROAD IN GUNDLUPET TALUK.";"2024-11-01 20:25:34"
"DMA/2023-24/OW/WORK_INDENT12264";"UNDER_EVALUATION";"1194932";"Rain water harvesting for borewells at rammanahalli for 4 kalisiddanahundi for 1 and nadanahalli for 6 numbers in rammanahalli TP limits";"Directorate of Municipal Administration";"DMA Town Panchayat Rammanahalli";"WORKS";"Rain water harvesting for borewells at rammanahalli for 4 kalisiddanahundi for 1 and nadanahalli for 6 numbers in rammanahalli TP limits";"2024-11-01 20:23:42"
"DMA/2023-24/OW/WORK_INDENT12273";"UNDER_EVALUATION";"1498381";"Construction of Dr BR Ambedkar Community hall at Nadanhalli village in Rammanahalli Town Panchyath Limit";"Directorate of Municipal Administration";"DMA Town Panchayat Rammanahalli";"WORKS";"Construction of Dr BR Ambedkar Community hall at Nadanhalli village in Rammanahalli Town Panchyath Limit";"2024-11-01 20:21:31"
"DMA/2023-24/OW/WORK_INDENT12276";"UNDER_EVALUATION";"1497918";"Road development work from behind super market Rutu electrical to Mahadevaswamy house at Giridarshini layout in Rammanahalli Town Panchayath Limit";"Directorate of Municipal Administration";"DMA Town Panchayat Rammanahalli";"WORKS";"Road development work from behind super market Rutu electrical to Mahadevaswamy house at Giridarshini layout in Rammanahalli Town Panchayath Limit";"2024-11-01 20:19:34"
"DMA/2023-24/OW/WORK_INDENT12277";"UNDER_EVALUATION";"993989";"Construction of CC Road and Drain from Maramma Temple to Rajanna house and Construction of deck near Channppa Madappa house at Hanchya Village in Rammanahalli Town Panchayath Limit";"Directorate of Municipal Administration";"DMA Town Panchayat Rammanahalli";"WORKS";"Construction of CC Road and Drain from Maramma Temple to Rajanna house and Construction of deck near Channppa Madappa house at Hanchya Village in Rammanahalli Town Panchayath Limit";"2024-11-01 20:17:21"
"DMA/2023-24/WS/WORK_INDENT6254/CALL-2";"UNDER_EVALUATION";"1495275";"providing and laying of HDPE pipeline at rammanahalli and kalisiddanahundi in rammanahalli TP limits";"Directorate of Municipal Administration";"DMA Town Panchayat Rammanahalli";"WORKS";"providing and laying of HDPE pipeline at rammanahalli and kalisiddanahundi in rammanahalli TP limits";"2024-11-01 20:14:43"
"DMA/2023-24/WS/WORK_INDENT12683";"UNDER_EVALUATION";"140857";"Installation Motor Pump to RO Plant for water supply near Alahalli Bus Stop in Rammanahalli Town Panchayath limits";"Directorate of Municipal Administration";"DMA Town Panchayat Rammanahalli";"WORKS";"Installation Motor Pump to RO Plant for water supply near Alahalli Bus Stop in Rammanahalli Town Panchayath limits";"2024-11-01 20:12:40"
"PWD/2023-24/RD/WORK_INDENT7364";"UNDER_EVALUATION";"498326";"Construction of C.C Drain and Maintenance of SH-19 Hosamane Cross to join NH-48 near Bellur cross in Nagamangala taluk";"Public Works Department";"PWD Division Office Mandya";"WORKS";"Construction of C.C Drain and Maintenance of SH-19 Hosamane Cross to join NH-48 near Bellur cross in Nagamangala taluk";"2024-11-01 20:00:25"
"DHFWS/2023-24/IND0435";"UNDER_EVALUATION";"3000";"Providing Wall Paint to Health Dept Uttara Kannada";"Department Of Health And Family Welfare Services";"DHFWS District Health and Family Welfare Office Uttar Kannada";"GOODS";"Providing Wall Paint to Health Dept Uttara Kannada";"2024-11-01 20:00:02"
"PWD/2023-24/RD/WORK_INDENT7285";"UNDER_EVALUATION";"499659";"Annual Maintenance of Haralakere-Kallinathapura Doddayagati Road for the year 2023-24";"Public Works Department";"PWD Division Office Mandya";"WORKS";"Annual Maintenance of Haralakere-Kallinathapura-Doddayagati Road to join Brahmadevarahalli-Basaralu Road Via Gurugalamadahalli-Upparakoppalu-Mannahalli for the year 2023-24 in Nagamangala taluk.";"2024-11-01 19:59:56"
"PWD/2023-24/RD/WORK_INDENT7372";"UNDER_EVALUATION";"299347";"Annual Maintenance of KTD Road at Ch 43.50 Km to join Taluk Border Via Bommanayakanahalli-Giduvinahosahalli for the year 2023-24 in Nagamangala taluk.";"Public Works Department";"PWD Division Office Mandya";"WORKS";"Annual Maintenance of KTD Road at Ch 43.50 Km to join Taluk Border Via Bommanayakanahalli-Giduvinahosahalli for the year 2023-24 in Nagamangala taluk.";"2024-11-01 19:59:24"
"PWD/2023-24/RD/WORK_INDENT7311";"UNDER_EVALUATION";"399719";"ANNUAL MAINTAINANCE OF SH85 TO KALLIKUNDI, BOGADI SANTHE TO JOIN TALUK BORDER";"Public Works Department";"PWD Division Office Mandya";"WORKS";"ANNUAL MAINTAINANCE OF SH85 TO KALLIKUNDI, BOGADI SANTHE TO JOIN TALUK BORDER";"2024-11-01 19:58:54"
"RDPR/2023-24/BD/WORK_INDENT1758/CALL-2";"UNDER_EVALUATION";"520000";"Construction of Toilets in Govt HPS Keni in Ankola Town";"Rural Development and Panchayat Raj Department";"RDPR Division Office Karwar";"WORKS";"Construction of Toilets in Govt HPS Keni in Ankola Town";"2024-11-01 19:58:48"
"PWD/2023-24/RD/WORK_INDENT7312";"UNDER_EVALUATION";"402816";"Annual Maintenance of Alur Siddapura(Somavarapete taluk) to Sathanur (NH 948) Road From Ch 182.53 to 190.74km in Mandya taluk.";"Public Works Department";"PWD Division Office Mandya";"WORKS";"Annual Maintenance of Alur Siddapura(Somavarapete taluk) to Sathanur (NH 948) Road From Ch 182.53 to 190.74km in Mandya taluk.";"2024-11-01 19:58:24"
"PWD/2023-24/RD/WORK_INDENT7365";"UNDER_EVALUATION";"500000";"Construction of C.C Drain/Retaining Wall at Anasosalu Village Limit on Sira-Nanjangudu (SH-84) Road in Mandya Taluk.";"Public Works Department";"PWD Division Office Mandya";"WORKS";"Construction of C.C Drain/Retaining Wall at Anasosalu Village Limit on Sira-Nanjangudu (SH-84) Road in Mandya Taluk.";"2024-11-01 19:57:56"
"PWD/2023-24/RD/WORK_INDENT7399";"UNDER_EVALUATION";"99055";"Providing Kilometer Stone Hectometer Stone Signboards and Painting work of Culverts and Head Walls to State Highway in Mandya taluk";"Public Works Department";"PWD Division Office Mandya";"WORKS";"Providing Kilometer Stone Hectometer Stone Signboards and Painting work of Culverts and Head Walls to State Highway in Mandya taluk";"2024-11-01 19:57:25"
"RDPR/2023-24/BD/WORK_INDENT1760/CALL-2";"UNDER_EVALUATION";"520000";"Construction of Toilets in Govt HPS AJJIKATTA in Ankola Town";"Rural Development and Panchayat Raj Department";"RDPR Division Office Karwar";"WORKS";"Construction of Toilets in Govt HPS AJJIKATTA in Ankola Town";"2024-11-01 19:57:08"
"PWD/2023-24/RD/WORK_INDENT7381";"UNDER_EVALUATION";"336693";"Annual Maintenance of Mandya-Hadagali (SH-47) road to join Mandya-Thendekere road via Thandasanahally, Chandagalu, Vaddarahally Koppalu, Maradevarahally, Madegowdanakoppalu, Chikkakoppalu, Agatahally, Nodekoppalu For the year 2023-24 In Mandya taluk.";"Public Works Department";"PWD Division Office Mandya";"WORKS";"Annual Maintenance of Mandya-Hadagali (SH-47) road to join Mandya-Thendekere road via Thandasanahally, Chandagalu, Vaddarahally Koppalu, Maradevarahally, Madegowdanakoppalu, Chikkakoppalu, Agatahally, Nodekoppalu For the year 2023-24 In Mandya taluk.";"2024-11-01 19:56:52"
"PWD/2023-24/RD/WORK_INDENT7377";"UNDER_EVALUATION";"252485";"Mandya-Mothahalli road to join Maddur Taluk Border via Haniyambadi, Lokasara DSP Farm for the year 2023-2024 in Mandya Taluk.";"Public Works Department";"PWD Division Office Mandya";"WORKS";"Mandya-Mothahalli road to join Maddur Taluk Border via Haniyambadi, Lokasara DSP Farm for the year 2023-2024 in Mandya Taluk.";"2024-11-01 19:56:22"
"PWD/2023-24/RD/WORK_INDENT7375";"UNDER_EVALUATION";"252797";"Annual Maintanance of MGM Road to join T,Malligere Road from ch-0.00 to 6.80 km for the yea of 2023-2024 in Mandya Taluk.";"Public Works Department";"PWD Division Office Mandya";"WORKS";"Annual Maintanance of MGM Road to join T,Malligere Road from ch-0.00 to 6.80 km for the yea of 2023-2024 in Mandya Taluk.";"2024-11-01 19:55:51"
"PWD/2023-24/RD/WORK_INDENT7400";"UNDER_EVALUATION";"126803";"Annual Maintenance of Basaralu-Brahamadevarahalli Road From Ch.6.00 to 11.40 K.M for the year of 2023-24 in Mandya Taluk";"Public Works Department";"PWD Division Office Mandya";"WORKS";"Annual Maintenance of Basaralu-Brahamadevarahalli Road From Ch.6.00 to 11.40 K.M for the year of 2023-24 in Mandya Taluk";"2024-11-01 19:55:19"
"PWD/2023-24/RD/WORK_INDENT7324";"RETENDERED";"250772";"AME for the road of Sira- Nanjanagudu Road (SH-84) (Working Chainage KM 181.47 to KM 190.00) in the year 2023-24 in Malavalli Taluk Mandya district.";"Public Works Department";"PWD Division Office Mandya";"WORKS";"AME for the road of Sira- Nanjanagudu Road (SH-84) (Working Chainage KM 181.47 to KM 190.00) in the year 2023-24 in Malavalli Taluk Mandya district.";"2024-11-01 19:54:49"
"PWD/2023-24/RD/WORK_INDENT7322";"UNDER_EVALUATION";"337183";"Providing Road Furniture for Koratagere- Bavali Road (SH-33) Chainage KM132.69 to KM 154.77 (Working Chainage KM 140.00 to KM 154.77) in the year 2023-24 in Malavalli Taluk Mandya district.";"Public Works Department";"PWD Division Office Mandya";"WORKS";"Providing Road Furniture for Koratagere- Bavali Road (SH-33) Chainage KM132.69 to KM 154.77 (Working Chainage KM 140.00 to KM 154.77) in the year 2023-24 in Malavalli Taluk Mandya district.";"2024-11-01 19:54:20"
"PWD/2023-24/RD/WORK_INDENT7321";"UNDER_EVALUATION";"251151";"AME for the Road From Sathanuru to join Mandya via Muththati, Halaguru (working Chainage KM 17.60 to KM 39.80 and KM 44.00 to KM 48.00) in the year 2023-24 in Malavalli Taluk Mandya district.";"Public Works Department";"PWD Division Office Mandya";"WORKS";"AME for the Road From Sathanuru to join Mandya via Muththati, Halaguru (working Chainage KM 17.60 to KM 39.80 and KM 44.00 to KM 48.00) in the year 2023-24 in Malavalli Taluk Mandya district.";"2024-11-01 19:53:52"
